date,cape,mkt5yrfwd
2010-11,21.24025,0.1381103
2010-12,21.70107,0.1390918
2011-1,22.3963,0.1283098
2011-2,22.97865,0.1058806
2011-3,23.48975,0.0978253
2011-4,22.89906,0.1139393
2011-5,23.14355,0.1152619
2011-6,23.05995,0.1131141
2011-7,22.10105,0.1238275
2011-8,22.6112,0.1242479
2011-9,20.04941,0.1519533
2011-10,19.69805,0.1527596
2011-11,20.15594,0.1447522
2011-12,20.34526,0.1434698
2012-1,20.52379,0.1487946
2012-2,21.21256,0.1413545
2012-3,21.79774,0.1378474
2012-4,22.05416,0.1353186
2012-5,21.7788,0.1350439
2012-6,20.94105,0.1460222
2012-7,20.54735,0.1527206
2012-8,20.99974,0.1483405
2012-9,21.41035,0.1412607
2012-10,21.78345,0.1381956
2012-11,21.57686,0.1448315
2012-12,20.89829,0.1550599
2013-1,21.23839,0.1566356
2013-2,21.90051,0.1579251
2013-3,22.05238,0.1458412
2013-4,22.41954,0.1398274
2013-5,22.59579,0.1327049
2013-6,23.41139,0.1269598
2013-7,22.92577,0.1342014
2013-8,23.4921,0.1304693
2013-9,23.35638,0.1353532
2013-10,23.44223,0.1364153
2013-11,23.83438,0.1227779
2013-12,24.64205,0.1096068
2014-1,24.86181,0.0936326
2014-2,24.85924,0.0952519
2014-3,24.5911,0.1079877
2014-4,24.95642,0.1062767
2014-5,24.78659,0.1139065
2014-6,24.94331,0.1070604
2014-7,25.55838,0.1031558
2014-8,25.8176,0.1081429
2014-9,25.61786,0.102019
2014-10,25.91859,0.1048023
2014-11,25.16312,0.1107358
2014-12,26.60698,0.1080274
2015-1,26.79436,0.1120143
2015-2,26.49199,0.1218353
2015-3,26.9958,0.1158454
2015-4,26.72853,0.0698655
2015-5,26.79131,0.0770631
2015-6,26.80558,0.0873321
2015-7,26.49572,0.1020876
2015-8,26.38163,0.1098171
2015-9,25.69327,0.1281189
2015-10,24.49628,0.1371352
2015-11,25.49128,0.1314233
2015-12,26.22548,0.1336549
2016-1,25.96493,0.1456884
2016-2,24.20582,0.1674098
2016-3,24.00278,0.1744653
2016-4,25.37258,0.1619656
2016-5,25.92252,0.1690881
2016-6,25.69467,0.1715746
2016-7,25.84022,0.1732968
2016-8,26.69385,0.1727795
2016-9,26.94884,0.1750602
2016-10,26.72772,0.1758989
2016-11,26.52511,0.178159
2016-12,26.85137,0.1862981
2017-1,27.86541,0.1777786
2017-2,28.06354,0.1695695
2017-3,28.65557,0.1568073
2017-4,29.0871,0.1507411
2017-5,28.90479,0.1513766
2017-6,29.31376,0.1288586
2017-7,29.74795,0.1172062
2017-8,30.00179,0.1160438
2017-9,29.91489,0.129501
2017-10,30.16805,0.1088963
2017-11,30.92084,0.0959976
2017-12,31.29886,0.1038225
2018-1,32.08672,0.0975447
2018-2,33.30699,0.0901075
2018-3,32.03557,0.1032879
2018-4,31.80899,0.0973336
2018-5,30.96972,0.1096476
2018-6,31.2434,0.1069282
2018-7,31.63049,0.1129484
2018-8,31.88591,0.11788
2018-9,32.3898,0.1101936
2018-10,32.62283,0.1043281
2018-11,31.03742,0.1061314
2018-12,30.19541,0.1207761
2019-1,28.29227,0.1451375
2019-2,28.38046,
2019-3,29.54115,
2019-4,29.5765,
2019-5,30.13335,
2019-6,29.24234,
2019-7,29.28419,
2019-8,29.98683,
2019-9,28.70526,
2019-10,29.22951,
2019-11,28.84073,
2019-12,29.83665,
2020-1,30.33237,
2020-2,30.98537,
2020-3,30.72946,
2020-4,24.81671,
2020-5,25.92736,
2020-6,27.32902,
2020-7,28.83803,
2020-8,29.59938,
2020-9,31.15804,
2020-10,30.83952,
2020-11,31.2835,
2020-12,32.47313,
2021-1,33.76618,
2021-2,34.51279,
2021-3,35.10449,
2021-4,35.04224,
2021-5,36.72048,
2021-6,36.55151,
2021-7,36.69579,
2021-8,37.44386,
2021-9,37.9732,
2021-10,37.6204,
2021-11,37.25301,
2021-12,38.58247,
2022-1,38.30519,
2022-2,36.93661,
2022-3,35.28672,
2022-4,34.27139,
2022-5,33.88916,
2022-6,30.67279,
2022-7,29.04791,
2022-8,29.00429,
2022-9,30.69893,
2022-10,28.22976,
2022-11,27.081,
2022-12,28.37912,
2023-1,28.31667,
2023-2,28.33489,
2023-3,28.9198,
2023-4,27.93782,
2023-5,28.76521,
2023-6,28.7618,
2023-7,29.93999,
2023-8,30.89186,
2023-9,30.30442,
2023-10,29.79968,
2023-11,28.76921,
2023-12,30.01311,
